view,family,batch,states,screenshot,test,scope,source
RootView,startup,W10a,first-launch;restored,00-launch.png;72-onboarding.png,ScreenshotTourUITests;new-v47-startup-tests,production,QiuJi/App/RootView.swift
MainTabView,navigation,W15a,guest;free;pro,01-training-home.png;05-drill-library.png;08-angle-home-all.png;40-history-calendar.png;50-profile-top.png,ScreenshotTourUITests;testV47TabRootsHaveNoNavigationTitle,production,QiuJi/App/MainTabView.swift
TrainingHomeView,training,W3,empty;standard;active;error,01-training-home.png,TrainingHomeViewModelTests;plan-entry-smoke,production,QiuJi/Features/Training/Views/TrainingHomeView.swift
PlanListView,training,W3,free;pro;empty,03-plan-list.png,TrainingHomeViewModelTests;plan-entry-smoke,production,QiuJi/Features/Training/Views/PlanListView.swift
PlanDetailView,training,W4,free;pro;active;locked,04-plan-detail.png,plan-view-create-edit-cancel,production,QiuJi/Features/Training/Views/PlanDetailView.swift
CustomPlanBuilderView,training,W4,empty;editing;validation;keyboard,04b-custom-plan-builder.png,plan-view-create-edit-cancel,production,QiuJi/Features/Training/Views/CustomPlanBuilderView.swift
ActiveTrainingView,training-flow,W5,running;paused;error;restored,planned:active-training,P4_TrainingLogUITests;S5_TrainingPagesLayoutUITests,production,QiuJi/Features/Training/Views/ActiveTrainingView.swift
DrillRecordView,training-flow,W5,empty;editing;keyboard;validation,planned:drill-record,P4_TrainingLogUITests;S5_TrainingPagesLayoutUITests,production,QiuJi/Features/Training/Views/DrillRecordView.swift
TrainingNoteView,training-flow,W5,empty;editing;keyboard;error,planned:training-note,P4_TrainingLogUITests,production,QiuJi/Features/Training/Views/TrainingNoteView.swift
TrainingSummaryView,training-flow,W6,standard;long-note;share,planned:training-summary,P4_TrainingLogUITests;S5_TrainingPagesLayoutUITests,production,QiuJi/Features/Training/Views/TrainingSummaryView.swift
TrainingShareView,training-flow,W6,default;alternate-background;save-error,planned:training-share,W1_ShareSavePhotosUITests,production,QiuJi/Features/Training/Views/TrainingShareView.swift
DrillListView,drill-library,W7a,standard;search;filtered;empty;locked,05-drill-library.png,P3_DrillLibraryUITests,production,QiuJi/Features/DrillLibrary/Views/DrillListView.swift
FavoriteDrillsView,drill-library,W7a,standard;empty;locked,56-profile-favorites.png,P3_DrillLibraryUITests,production,QiuJi/Features/Profile/Views/FavoriteDrillsView.swift
DrillDetailView,drill-library,W7b,standard;multi-formation;locked,06-drill-detail-top.png;07-drill-detail-bottom.png,DrillTryoutUITests;V31W2MultiFormationUITests,production,QiuJi/Features/DrillLibrary/Views/DrillDetailView.swift
DrillTutorialView,drill-library,W7b,standard;multi-formation;viewer,07b-drill-tutorial.png,V31W2MultiFormationUITests,production,QiuJi/Features/DrillLibrary/Views/DrillTutorialView.swift
AngleHomeView,practice-root,W15a,all;learn;theory;train;play;solve,08-angle-home-all.png;08a-angle-home-learn.png;08a2-angle-home-theory.png;08b-angle-home-train.png;08c-angle-home-play.png;08d-angle-home-solve.png,ScreenshotTourUITests,production,QiuJi/Features/AngleTraining/Views/AngleHomeView.swift
HistoryCalendarView,history,W8,empty;standard;error;free;pro,40-history-calendar.png,P6_HistoryStatsUITests,production,QiuJi/Features/History/Views/HistoryCalendarView.swift
StatisticsView,history,W8,empty;standard;error;free;pro,41-history-statistics.png,P6_HistoryStatsUITests,production,QiuJi/Features/History/Views/StatisticsView.swift
TrainingDetailView,history-detail,W9,standard;long-note;delete,planned:training-detail,V29W2aHistoryDetailUITests,production,QiuJi/Features/History/Views/TrainingDetailView.swift
AngleSessionDetailView,history-detail,W9,standard;long-answer,planned:angle-session-detail,new-v47-angle-detail-tests,production,QiuJi/Features/AngleTraining/Views/AngleSessionDetailView.swift
TrainingDataEditorView,history-detail,W9,editing;validation;save-error;keyboard,planned:training-data-editor,V29W2bTrainingDataEditUITests,production,QiuJi/Features/History/Views/TrainingDataEditorView.swift
ProfileView,profile,W10a,guest;free;pro;scrolled,50-profile-top.png;51-profile-scrolled.png,P8_ProfileSettingsUITests,production,QiuJi/Features/Profile/Views/ProfileView.swift
LoginView,auth,W10a,default;loading;error,70-login.png,P8_ProfileSettingsUITests;new-v47-auth-error-tests,production,QiuJi/Features/Profile/Views/LoginView.swift
PhoneLoginView,auth,W10a,default;focused;validation;error,71-phone-login.png,new-v47-auth-error-tests,production,QiuJi/Features/Profile/Views/PhoneLoginView.swift
OnboardingView,auth,W10a,first;middle;final,72-onboarding.png,new-v47-startup-tests,production,QiuJi/Features/Profile/Views/OnboardingView.swift
PersonalInfoView,profile,W10b,guest;logged-in;editing;error,52-profile-personal-info.png,P8_ProfileSettingsUITests,production,QiuJi/Features/Profile/Views/PersonalInfoView.swift
TrainingGoalView,profile,W10b,default;editing;validation,53-profile-training-goal.png,P8_ProfileSettingsUITests,production,QiuJi/Features/Profile/Views/TrainingGoalView.swift
