scenario,status,batch,execution,scope_note,issues
SC-01,partial,B1,FORMAL-B1-001;formal-004-m2-startup-deny-001,"2026-09-08 final audit; diagnostic conclusion, not all subitems passed. H B1-001 `V50StateMatrixUITests/testFirstLaunchCompletionAndRelaunchPersistence`原引导/重启；C m2-startup-deny001 39.036s，新SE3/iOS17普通空磁盘直接训练首页→游客→目标/首次拒绝。M1五根light/dark roots-detail001见MATRIX-004-RESULT；M2-STARTUP-004-RESULT。 | **可分层交付**。当前普通Root直接MainTabView，Onboarding仅预览；不得按旧方案文字强造普通首次必经引导。旧逐页证据H、并行当前引导改版不由冻结测试验收；不再列“M2普通首次未做”。五Tab不证明每二级入口。",
SC-02,partial,B3/B5,FORMAL-B3-002;FORMAL-B5-M1-LIGHT;FORMAL-B5-M2-LIGHT-ROOT;FORMAL-B5-M3-LIGHT-ROOT;FORMAL-B5-M3-DARK;FORMAL-004-LEARNING-SHELLS-001;FORMAL-004-LEARNING-REMAINDER-001;FORMAL-004-LEARNING-REMAINDER-002;FORMAL-004-LEARNING-REMAINDER-003;formal-004-settings-boundary-002;formal-004-image-viewer-observation-003;formal-004-image-viewer-gesture-001;formal-004-image-viewer-swipe-001,"2026-09-08 final audit; diagnostic conclusion, not all subitems passed. LEARNING-004-RESULT：shells001及remainder001/002/003共21原定学理入口有效操作/下段/返回；M1根页/c012、计划、模版、认知、拍照、工具各专项正常路径。settings-boundary002 74.573s实际偏好/关于/返回；viewer观察003打开1/6、gesture001双击放大复位、swipe001关闭回原位置。 | **有问题可交付，但主控须保留route反向索引**。QD033两种横滑均仍1/6，整方法失败54.802s，未到2/6；无需反复追绿。旧ENTRY-COVERAGE-AUDIT大量“未测”被新专项覆盖，不直接复制。制作/退役入口按CREATION-RETIRED-REACHABILITY排除；不宣称兼容深链/每个导流CTA全部点击。每日终态缺口属SC23，不把全入口到达当终态完成。 Latest: ENTRY-EVIDENCE-INDEX-004.md now provides the route-to-evidence index. 2026-09-09 Daily normal entry/end/replay proven; completed reentry default-board mismatch QD034. See DAILY-ENDING-004-RESULT.md.",QD-033
SC-03,partial,B5,FORMAL-004-LIBRARY-SEARCH-FAVORITES-001,"2026-09-08 final audit; diagnostic conclusion, not all subitems passed. LIBRARY-004-RESULT search-favorites001无结果→恢复及空收藏；C template-boundary001正常空货架/拒存退出；data-refresh-ui001 9/7空日；M2普通空训练/历史CTA有ROOT-REACHABILITY历史图审。 | **带明确O可交付**。正常空态已验；loader失败不能由这些空态通过替代。LOAD-REMINDER-CLOSURE指出Bundle loader index失败→[]、逐项compactMap且VM无error状态的S信息丢失风险，未做故障包UI实测；商品catalog实际empty/retry未进入catch。无现成安全注入口，不破坏包造错；未来允许测试接缝或可复现Sandbox条件才补真实throw→提示→retry，不登记为已实测加载UI缺陷。",
SC-04,partial,B2,FORMAL-B2-001;FORMAL-B2-006;FORMAL-004-PLAN-TEMPLATE-001;FORMAL-004-PLAN-FOLLOWUP-002;FORMAL-004-PLAN-TIMER-003;FORMAL-004-PLAN-CONTINUATION-001;FORMAL-004-PLAN-CONTINUATION-002,"2026-09-08 final audit; diagnostic conclusion, not all subitems passed. C plan-continuation002 373.399s：15组225/225正常保存，首课完成/第二当前/第三未开始，切plan_accuracy再回plan_beginner游标保持。H B2-001所选V54 switchRestoresCursorAndIsolatesOwners、failedSwitchRestoresSavedAndInMemoryState、normalizationPersistsSingleActiveWithoutLosingCursors。PLAN-CONTINUATION-004-RESULT/B2-SELECTORS。 | **可分层交付**。001卡片中心落TabBar属于测试误触，已保留失败并补002；不是产品推进失败。004 UI为内存游客；唯一active/失败rollback沿H服务证据，不宣称004全重跑或真实账号跨设备。没有再做完整15组的必要本机缺口。",
SC-05,partial,B2/B5,FORMAL-B1-003;FORMAL-B2-002;FORMAL-B2-006;FORMAL-B5-M2-LIGHT-PERSISTENCE-002;FORMAL-B5-M2-AX5-CORE;FORMAL-B5-M3-LIGHT-CORE;FORMAL-B5-M3-AX5-CORE;FORMAL-RESUME-PARTIAL-SAVE-002;FORMAL-RESUME-CURRENT-JOURNEY-UI-001;FORMAL-RESUME-CURRENT-JOURNEY-UI-002,"2026-09-08 final audit; diagnostic conclusion, not all subitems passed. H B1-003/B2-002及B5多设备正常磁盘链；003 CURRENT-JOURNEY：c012首组5/15、两行心得真实保存→重启读回。C完整计划/模版正常录分保存与历史提供共享保存入口旁证。H ActiveTraining secondCall不重复；V54TrainingTransaction `test_injectedSaveFailure_rollsBackEverything_andSameBlockCanRetry`。 | **有缺陷及层限制可交付**。QD012 P1：未操作7组仍保存，8组5/120；003独立2失败/1零分完整对照通过，非零分无效。原UI001保存后退出预期失配与产品分母问题分开。scheduled saveAction失败重试不是free UI真实context.save失败；无安全注入口，本轮明确未建立该UI层，不挪用成已验。",QD-012
SC-06,partial,B2,FORMAL-B2-001;FORMAL-B2-006;FORMAL-004-PLAN-TEMPLATE-001;FORMAL-004-PLAN-FOLLOWUP-002;FORMAL-004-PLAN-TIMER-003;FORMAL-004-PLAN-CONTINUATION-001;FORMAL-004-PLAN-CONTINUATION-002;formal-004-today-queue-005,"2026-09-08 final audit; diagnostic conclusion, not all subitems passed. C today-queue005 289.376s：计划A/模版T/库L三源重复不增，T上移下移，首项不可上移，仅删pending L而A/T和源保留；plan-timer003正常开始；calendar-boundary001 23小时DST本地日跨日，旧队列归档/new空，原item保持。TODAY-QUEUE、CALENDAR结果。 | **可分层交付**。三源是3项而非4动作；T重复有正常UI守卫，非第二次写库。001–004定位/浮点边缘失败保留。开始后拒删与其它冻结角色沿H服务，不误称005已开始或跨进程；跨日为注入Calendar，不等待午夜。旧“三源/跨日都未验”已失效。",
SC-07,partial,B2,FORMAL-B2-001;FORMAL-004-PLAN-CONTINUATION-001;FORMAL-004-PLAN-CONTINUATION-002;formal-004-schedule-boundary-001,"2026-09-08 final audit; diagnostic conclusion, not all subitems passed. C schedule-boundary001 2/2 .151s：preview6先完成不推进、补4/5不能让旧preview冒成eligible；review不倒退，pending/inProgress/abandoned不推进，completed才进；独立context回读。C plan-continuation002正常UI。H B2逆序/末课/重复20次等见SC07-BOUNDARY-EVIDENCE-AUDIT。 | **可分层交付**。直接赋completed是服务输入，不冒充全组UI；旧H原件不可重核保留，不因为这一点重跑所有反例。没有新产品缺陷或要求每反例再做正常15组。",
SC-08,partial,B2,FORMAL-B2-001;FORMAL-B2-006;FORMAL-004-PLAN-TEMPLATE-001;FORMAL-004-TEMPLATE-CONTINUATION-007;FORMAL-004-TEMPLATE-BOUNDARY-001;FORMAL-004-M2-AX5-TEMPLATE-BOUNDARY-004,"2026-09-08 final audit; diagnostic conclusion, not all subitems passed. C template-continuation007 3487.563s：真实改名、c037遍数×2、6组各5/15→历史30/90→删除本次UUID后原名/剂量/成绩不变、来源disabled。template-boundary001 147.352s空名/无动作拒存、64字+c037有效保存、同UUID杀进程重开及SQL；M2 AX5 template-boundary004另有139.141s/SQL与图审报告。 | **有问题可交付**。QD024历史时间向未来延伸独立成立，不被整方法通过抹去；001–006测试适配失败均保留。007内存，磁盘边界由独立001补齐；长名一行省略允许，完整值由UI/SQL而非目视64字。原空名/长名“待验”过时；不扩全设备×owner。",
SC-09,partial,B2,FORMAL-B2-001;FORMAL-B1-003;FORMAL-B2-002;FORMAL-RESUME-PARTIAL-SAVE-002;FORMAL-RESUME-CURRENT-JOURNEY-UI-001;FORMAL-RESUME-CURRENT-JOURNEY-UI-002;FORMAL-004-DATA-GOAL-COMPANION-001;FORMAL-004-DATA-GOAL-COLD-001;FORMAL-004-TEMPLATE-BOUNDARY-001;FORMAL-004-M2-AX5-TEMPLATE-BOUNDARY-004,"2026-09-08 final audit; diagnostic conclusion, not all subitems passed. H自由训练B1/B5/003磁盘重启；C cognitive-disk-restart002 74.970s，PID21539→21660，同题15/27/12、SQL1result+1session；template-boundary001同UUID；library-boundary001收藏两次重启；data-goal-cold001 94.581s双PID同B/C账本目标5。 | **可分层交付**。不再把全部证据叫内存refetch；认知repository001新容器重开本身仍非杀进程。QD012历史错误分母会持久保留、QD027/028冷启动恢复不等于已修复；任意写入中断/真断电/跨设备未验，不扩成每保存模块×每强杀时点。",QD-012
SC-10,partial,B2,FORMAL-B2-001;FORMAL-B2-006;FORMAL-004-PLAN-TIMER-003;formal-004-rest-background-zero-001,"2026-09-08 final audit; diagnostic conclusion, not all subitems passed. C plan-timer003计时91.885s：暂停6→6、恢复7→10、缩小10→18、后台18→25、+30后59→87、休息收起84→81、结束到心得；9状态图已由主控和独立图审核。rest-background-zero001 108.985s，后台等待61.005s后休息清除、新休息59→56。 | **带O/E可交付**。无本例计时数值缺陷；休息是否纳入累计无最终裁定，不能编oracle。真实锁屏/系统挂起/LiveActivity、长时漂移另留SC38/M6；普通后台到零已做，不列本机未验。",
SC-11,partial,B2,FORMAL-B2-001;FORMAL-B2-006;FORMAL-B2-007;FORMAL-RESUME-DATA1-UI-001;FORMAL-RESUME-DATA1-UI-002;FORMAL-004-DATA-REFRESH-UI-001;FORMAL-004-DATA-GOAL-COMPANION-001;FORMAL-004-DATA-GOAL-COLD-001,"2026-09-08 final audit; diagnostic conclusion, not all subitems passed. H B2独立字面账本及003 DATA1：A两entry、c001已练6、tool排除；C data-refresh-ui001删A后4→2且B/C SQL原值保持。thousand-perf-ui002 210.634s，1000磁盘记录/组、统计2000分钟8000/10000、前后独立数量/owner不变。 | **有问题可交付**。QD012未保存组污染、QD027统计时长删后仍50；计次4→2本身成功不能替统计刷新的失败。千场是合成单日同类，有界滚动而非逐千条遍历；不再列千场UI未做，不声称真实触控性能达标。","QD-027,QD-028"
SC-12,partial,B2,FORMAL-B2-001;FORMAL-B1-003;FORMAL-B2-002;FORMAL-B2-003;FORMAL-B2-005;FORMAL-B2-006;FORMAL-B2-007;FORMAL-RESUME-THOUSAND-UI-001;FORMAL-RESUME-THOUSAND-UI-002;FORMAL-RESUME-DATA1-UI-001;FORMAL-RESUME-DATA1-UI-002;FORMAL-004-DATA-REFRESH-UI-001;FORMAL-004-DATA-GOAL-COMPANION-001;FORMAL-004-DATA-GOAL-COLD-001,"2026-09-08 final audit; diagnostic conclusion, not all subitems passed. H B2-005取消保留/7-9-150编辑保存/非法拒绝/删除重启及旧样本保护。C data-refresh-ui001 9/7空日→8/31 C→9/8 A，-EDIT保存重开、删A两entry/two set无孤儿，B/C保持；template007删源冻结；cold001重启保留删除。 | **有缺陷可交付**。QD024时段错；QD027删后时长不刷，001 110.220s失败；cold后30/1是恢复对照而非修复。003/004旧popover取消定位失败与产品分开。不再列切月/空日/备注“尚未到达”。","QD-012;QD-024,QD-027"
SC-13,partial,B2,FORMAL-B2-001;FORMAL-B2-007;FORMAL-RESUME-THOUSAND-UI-001;FORMAL-RESUME-THOUSAND-UI-002;FORMAL-RESUME-DATA1-UI-001;FORMAL-RESUME-DATA1-UI-002,"2026-09-08 final audit; diagnostic conclusion, not all subitems passed. H B2-007独立三kind账本；003 DATA1七场UI周3天65分4组/月4天105分5组/年5天185分6组，tool99分排除。C data-refresh失败50分1组对照cold30分1组；千场2000分/1000组独立账本。 | **有缺陷可交付**。QD022平均值计算周期与显示单位冲突；QD012分母、QD027刷新仍在；混单位合计只刻画有损行为，不写“单位不混通过”。本轮数值代表诊断已做，未宣称所有图表公式/未来脏数据/真实跨千日；不因有错误要求修到绿。",QD-012;QD-022
SC-14,partial,B2,FORMAL-B2-001;FORMAL-B2-007;FORMAL-RESUME-DATA1-UI-001;FORMAL-RESUME-DATA1-UI-002;formal-004-calendar-boundary-001;formal-004-owner-goal-001,"2026-09-08 final audit; diagnostic conclusion, not all subitems passed. H日去重/tool排除及003账本；C data-goal-companion001 83.501s失败：目标页/磁盘5、首页仍3；cold001新进程一致5。owner-goal001 .019s：guest2/A请求4响应5/B6、非法0/8拒写、重建Store5/2/6、独立owner键不串；calendar-boundary001参数层。 | **有缺陷/O/E可交付**。QD028同进程刷新；“A/B/guest目标对照仍缺”已补。目标属owner、提醒属设备每日时间；改每周目标不要求重排每日提醒。真实第二设备/HTTP同步未验，跨区钟点语义未裁定；不拿本地Store重建替跨设备。",
SC-15,partial,B1/B3,FORMAL-B1-001;FORMAL-B3-001;FORMAL-B3-STATIC;CONTENT-FRESHNESS-004-AUDIT;FORMAL-004-CONTENT-BUNDLE-001,"2026-09-08 final audit; diagnostic conclusion, not all subitems passed. C content-bundle001五方法5/5 1.666s：74动作、12计划顺序、全Bundle盘面解码范围、全部被引用UIImage非nil；独立安装891文件SHA=冻结。S CONTENT-FRESHNESS：2341资源/169上游/14入口一致、704引用无缺失、门禁exit0。 | **有资产问题/O可交付**。QD009退役盘面仍进包；C1 95warn/C2无比较对象不证明生成新鲜度，不能拿FAIL0伪称全图正确。旧00220/20、B3 31/31为H，不与当前五方法重复计数；缺失UI错误展示归SC03，不能从成功解码证明失败可诊断。",
SC-16,partial,B3/B5,FORMAL-B3-002;FORMAL-EXTRA-M2-AX5-REACHABILITY-001;FORMAL-004-LIBRARY-SEARCH-FAVORITES-001;formal-004-library-category-001;formal-004-favorite-owner-001,"2026-09-08 final audit; diagnostic conclusion, not all subitems passed. C library-boundary001 187.261s：直线出杆c009/c012→9球仅c009→恢复2，c012收藏/取消各跨进程保持，终态SQL0；category001 147.732s完整走位24（14主+10副），直线交集c039，重置全部六项；5关键图/独立74JSON golden。H B4 owner迁移/rollback及Guest key。 | **代表UI可交付，owner证据需精确限定**。QD019 AX5搜索图标裁切不由正常字号通过抹去。已核V53OwnerIsolation `test_ownerTransfer_isIdempotent_andMovesQueueWithData`确含1条favorite迁移至account；它不证明A/B两个收藏页查询隔离。B6泛称“owner收藏隔离”不能扩成正常UI已验：本轮保留H迁移层/真实账号跨UI未验（跨owner总链归SC25），若最终要求独立A/B收藏查询金样，应先核SC25现有方法而非重跑24卡。 Latest: FAVORITE-OWNER-004-RESULT.md supersedes the local favorite owner-query gap: 1/1 passed, 0.610s; four independent guest/A/B stages, 0/6/5/4 rows. Real login/UI/cloud not established.",QD-019
SC-17,partial,B3,FORMAL-B3-001;CONTENT-SAMPLE;formal-004-c042-tutorial-001/002/003;formal-004-c042-tutorial-006,"2026-09-08 final audit; diagnostic conclusion, not all subitems passed. H CONTENT-SAMPLE：12课覆盖8主类Free7/Pro5、单/多形/无序列，115杆130引用，实看20图；原audit/PNG当前旧路径缺。C c042-tutorial006 498.452s失败前F1末图/F2首图/末图录像三图已审；M2/M3 AX5球团管理长文下段另有结果。 | **发现问题后可交付**。QD013规则自矛盾、014力度、015方向、016方向/皮头、017剂量预期待定、018参考坐标漂移须分类型，不统称六个生产Bug。QD029 P1布局持续忙解释回F1/返回未执行；不再同链追绿。未看110张图/全动态/专家训练效果不伪称已验，也不自行扩大原12课成全库。",QD-013;QD-014;QD-015;QD-016;QD-017;QD-018;QD-029
SC-18,partial,B3/B5,FORMAL-B3-002;FORMAL-B5-M3-LIGHT-CORE;FORMAL-B5-M3-DARK;formal-004-c042-tryout-001;formal-004-image-viewer-observation-003;formal-004-image-viewer-gesture-001;formal-004-image-viewer-swipe-001,"2026-09-08 final audit; diagnostic conclusion, not all subitems passed. C c042-tryout001 103.431s：两形真实Free入场、分别击球/重打/重摆/正常返回，原3/5目标布局及运动图审；M1浅深c012正常详情返回；viewer003打开/gesture放大复位/swipe关闭原位置；S退役索引/正常入口排除见CREATION-RETIRED-REACHABILITY。 | **有缺陷可交付**。QD029阻断精讲回F1，QD033未能翻到第二图；不可声称完整图集不串图。QD009包残留与正常列表不可达是两回事。原8/5杆全部自动播放不是原本每形入口必需新组合，不追加；真实下架API/兼容深链情况不从索引静态外推。",QD-033
SC-19,partial,B3,FORMAL-B3-001;FORMAL-B3-003;FORMAL-B3-004;FORMAL-004-COGNITIVE-SAVE-001;FORMAL-004-COGNITIVE-CANCEL-001;FORMAL-004-COGNITIVE-REPOSITORY-001;FORMAL-004-COGNITIVE-DISK-RESTART-002,"2026-09-08 final audit; diagnostic conclusion, not all subitems passed. H B3角度预测17/28/39三题保存；C save001五新增保存4过/1失败：2D瞄准点0与-0定位失配，但录像已证1题历史；cancel001六入口未提交退出空史155.951s；repository001 3/3 .728s：同对象两存1结果/1session、协议首次throw后真实仓储重试恰1、新磁盘容器重开；disk-restart002真PID与SQL1/1。 | **带单位缺陷/层限制可交付**。QD023瞄准点mm值显示°；不能因一题有记录称单位正确。六题型保存组合含H第六类，未提交取消为单方法六循环；重复保存幂等不等于每页重复点结束均已UI验证。协议throw在真实仓储调用前，不是context.save故障；六类磁盘/写中强杀未验且不扩为新排列。原认知磁盘“待测”已失效。",QD-023
SC-20,partial,B3,FORMAL-B3-001;FORMAL-B3-003;FORMAL-B3-004;FORMAL-004-LEARNING-SHELLS-001;FORMAL-004-LEARNING-REMAINDER-001;FORMAL-004-LEARNING-REMAINDER-002;FORMAL-004-LEARNING-REMAINDER-003;FORMAL-004-SOLVER-FILTERS-002,"2026-09-08 final audit; diagnostic conclusion, not all subitems passed. **原要求**：力度、打点、袋口、理想/真实模式、无解；独立方向、接触、反射与标签。 **已验**：H B3-001物理/几何及B3-003/004正常模式切换、击球、上一杆、返回。D/SOLVER-BOUNDARY-CLOSURE-004-AUDIT.md逐方法核：`BankKickDifficultyTests/test_ghostAlongFinalAim_straightOnGold` 独立ghost x=-2R/z=0；`test_solveKick_typicalBoard_sortedAndAssembled` 非空、每解接触与库数；`SeparationAngleAtlasTests/testPathSlice_startsAtBallBall_endsAtFirstCueCushion` 及低力度无库fallback。不是用UI标签独自证明物理。 C R/formal-004-learning-shells-001、formal-004-learning-remainder-001/002/003，学习21入口的规定交互、下段阅读、返回已结束；D/LEARNING-004-REMAINDER-VISUAL-REVIEW.md保留关键图审。C R/formal-004-solver-filters-002 两方法：`SolverBoundaryDiagnosticUITests/testBankDefaultSolutionsAndOneTwoThreeCushionTerminalStates` 63.984s，2/3库真无解及回自动；`testReflectionDefaultSolutionsAndOneTwoThreeCushionTerminalStates` 69.715s，1/2/3库10/5/1解与循环/单解禁切。 **中断/边界**：菜单早期点击处在实际面板内属T，后续有独立成功，不仍列“菜单未验”。反射本例未出现空数组，但有正常+单解/循环边界，原规则允许“边界/无解”；不强加每工具每模式必空解。H几何报告不升级为004全参数重验；真台精度、所有方向与教学内容正确性未由这些代表例保证。 **收口**：可交付诊断，注明C/H分层；无必要再搜索随机反射空解。",
